customer_id,first_name,last_name,email,phone,city,customer_segment,registration_date
1,Barbara,Moore,barbara.moore1@icloud.com,+1 (512) 491-68-92,Austin,Wholesale,2022-05-18
2,Thomas,Moore,thomas.moore2@yahoo.com,+1 (704) 479-34-24,Charlotte,Wholesale,2022-06-16
3,Margaret,Martinez,margaret.martinez3@yahoo.com,+1 (214) 390-11-53,Dallas,Wholesale,2023-08-05
4,Ashley,Davis,ashley.davis4@icloud.com,+1 (210) 379-88-91,San Antonio,Retail,2024-04-26
5,Edward,White,edward.white5@gmail.com,+1 (512) 288-61-95,Austin,VIP,2022-07-09
6,Kevin,Thomas,kevin.thomas6@yahoo.com,+1 (415) 531-41-10,San Francisco,Retail,2023-01-28
7,Elizabeth,Carter,elizabeth.carter7@gmail.com,+1 (214) 537-48-84,Dallas,Wholesale,2022-09-25
8,Christopher,Wright,christopher.wright8@icloud.com,+1 (619) 263-95-25,San Diego,Retail,2022-11-11
9,Jeffrey,Scott,jeffrey.scott9@yahoo.com,+1 (317) 518-98-25,Indianapolis,Retail,2023-01-12
10,Lisa,Hall,lisa.hall10@icloud.com,+1 (619) 336-71-29,San Diego,VIP,2024-02-05
11,George,Smith,george.smith11@icloud.com,+1 (904) 625-99-80,Jacksonville,Retail,2024-02-15
12,Mary,Lopez,mary.lopez12@gmail.com,+1 (210) 453-97-86,San Antonio,Retail,2023-06-23
13,Betty,Rodriguez,betty.rodriguez13@gmail.com,+1 (904) 279-82-24,Jacksonville,Retail,2024-04-28
14,Sarah,Perez,sarah.perez14@outlook.com,+1 (317) 407-83-78,Indianapolis,Retail,2022-06-18
15,Ronald,Allen,ronald.allen15@outlook.com,+1 (317) 652-24-97,Indianapolis,Retail,2024-01-05
16,Michael,King,michael.king16@icloud.com,+1 (312) 722-67-17,Chicago,Retail,2022-05-16
17,Kevin,Williams,kevin.williams17@icloud.com,+1 (704) 777-17-81,Charlotte,Wholesale,2023-11-20
18,Christopher,Nguyen,christopher.nguyen18@outlook.com,+1 (212) 605-42-10,New York,Retail,2023-08-16
19,Daniel,King,daniel.king19@gmail.com,+1 (614) 552-99-18,Columbus,VIP,2022-03-12
20,Jennifer,Harris,jennifer.harris20@outlook.com,+1 (415) 232-46-62,San Francisco,Retail,2024-02-27
21,Christopher,Jones,christopher.jones21@icloud.com,+1 (614) 583-58-67,Columbus,Retail,2023-01-20
